date,revenue,fees,expenses
2021-05-24,89390.07965827867,865153.7228308502,775763.6431725714
2021-05-25,94475.8682760045,848938.1205428704,754462.2522668659
2021-05-26,100522.25191099587,886962.8210694665,786440.5691584707
2021-05-27,102236.71277848643,885085.6991733513,782848.9863948649
2021-05-28,103588.00715775303,958608.3705015555,855020.3633438025
2021-05-29,99681.19894137995,872269.5966489823,772588.3977076024
2021-05-30,95571.25570072116,958827.149891344,863255.8941906228
2021-05-31,99767.10760693089,860905.9416573244,761138.8340503935
2021-06-01,113823.14924992286,969079.1985913154,855256.0493413926
2021-06-02,116624.76802373998,979629.2270713641,863004.4590476241
2021-06-03,121408.90472752045,1010448.790419368,889039.8856918475
2021-06-04,121493.77071514787,1013686.5173838782,892192.7466687304
2021-06-05,135255.0573425296,1107661.644032145,972406.5866896154
2021-06-06,135763.01385286698,1152077.0616032302,1016314.0477503632
2021-06-07,125136.51603614865,1047204.3612421345,922067.8452059858
2021-06-08,124996.15192726464,1061216.0969370082,936219.9450097436
2021-06-09,116664.23150266042,1004291.5195071539,887627.2880044935
2021-06-10,124433.86474990987,1033969.1972846949,909535.332534785
2021-06-11,126500.09920697902,1072244.692253285,945744.593046306
2021-06-12,120240.19989311651,1032595.1839711439,912354.9840780274
2021-06-13,113157.51430732805,946982.7117006035,833825.1973932754
2021-06-14,114761.47244907335,958362.1546044368,843600.6821553635
2021-06-15,110600.8791928493,941931.864888999,831330.9856961498
2021-06-16,119939.61359260633,1032669.5207446273,912729.9071520211
2021-06-17,112715.80022890342,988929.8667547134,876214.0665258099
2021-06-18,112959.32976306468,1016503.756808412,903544.4270453474
2021-06-19,88441.97874459492,867186.7694205432,778744.7906759483
2021-06-20,86462.21570899646,847116.7178701167,760654.5021611203
2021-06-21,81200.18445102412,802532.1156890021,721331.9312379779
2021-06-22,76921.53737460787,766137.2856383341,689215.7482637262
2021-06-23,74281.82274158834,733284.069048036,659002.2463064477
2021-06-24,74847.98074036693,724255.7647431354,649407.7840027685
2021-06-25,72384.32107146815,710439.9017467385,638055.5806752703
2021-06-26,72561.62082018194,704839.181333927,632277.5605137451
2021-06-27,71879.87191802537,685777.9459775928,613898.0740595674
2021-06-28,72872.91203208917,804516.6745519177,731643.7625198285
2021-06-29,71559.28379176735,691479.2476782489,619919.9638864816
2021-06-30,75213.00916013267,715157.1418449907,639944.132684858
2021-07-01,78178.51186585239,742469.382617181,664290.8707513286
2021-07-02,75609.1292587792,727611.9797730613,652002.8505142821
2021-07-03,74950.83684290886,715358.9634843925,640408.1266414836
2021-07-04,73779.03568478231,699440.9217070013,625661.886022219
2021-07-05,73211.41241282239,701911.5217563641,628700.1093435418
2021-07-06,70163.70175143213,739345.6473017838,669181.9455503516
2021-07-07,69072.252687594,659787.2350479846,590714.9823603906
2021-07-08,70626.10365745134,672399.2879996246,601773.1843421733
2021-07-09,70844.45275451074,681697.8958546636,610853.4431001528
2021-07-10,75717.3205087445,720610.6002440599,644893.2797353155
